pid,born,age,gender,race,grade,tertiary,province,dweltyp,no_reside,water,elect,work_feb,emdays_feb,emhrs_feb,feb_pay_pure,feb_pay,work_apr,apr_return,worktype,work_code,emdays_apr,emhrs_apr,apr_pay_pure,apr_pay,uif_ters,work_seek,last_seek,hh_childgrant,any_childgrant,hh_govpen,any_govpen,grant_rec,grantyp1,grantyp2,grantyp3,hhincsource1,hhincsource2,hhincsource3,hhincdec1,hhincdec2,hhincdec3,apr_hh_inc,hh_inc_lost,nomoneyfood,7dayshungry,chldcr,time_chldcr,kids_in_school,ed_books,edtv,edradio,edonline,suppgov,suppngo,suppcom
301013,1981,39,male,coloured,9,no,gauteng,house/flat,3,yes,yes,yes,,,180,,no,,,,,,,,,no,1-6 months ago,0.0,,1.0,,yes,disability,,,own business,,,no income decrease,,,,no,no,no,,,,,,,,no,no,no
301058,1948,72,female,indian,0,,natal,house/flat,4,yes,yes,retired,,,,,,,,,,,,,,,,0.0,,1.0,,yes,pension,,,government grants,,,no income decrease,,,3500.0,no,yes,no,yes,over 4 hours more,0.0,no school books,no,no,no,yes,yes,yes
301059,1990,30,female,african,10,yes,gauteng,house/flat,4,no,no,no,,,,,no,no,,,,,,,,no,>1 year ago,2.0,,0.0,,yes,child support,,,government grants,,,no income decrease,,,1500.0,yes,yes,no,yes,over 4 hours more,2.0,no school books,no,yes,no,yes,no,no
301062,1972,48,female,african,10,no,gauteng,house/flat,4,yes,yes,yes,3.0,5.0,900,,no,yes,regular job,elementary occup,5.0,5.0,,,no,,,2.0,,0.0,,yes,child support,,,government grants,,,from employment,,,4200.0,yes,yes,yes,yes,over 4 hours more,2.0,yes,yes,yes,yes,no,yes,yes
301067,1971,49,female,african,9,no,gauteng,house/flat,7,yes,yes,no,,,,,no,no,,,,,,,,yes,within last month,2.0,,0.0,,no,,,,government grants,,,no income decrease,,,,no,yes,no,no,,2.0,yes,yes,yes,no,yes,no,no
301070,1986,34,male,african,9,no,gauteng,house/flat,7,yes,yes,,,,,,,,,,,,,,,,,3.0,,1.0,,no,,,,government grants,,,no income decrease,,,,no,no,yes,no,,0.0,no,yes,no,no,no,no,yes
301073,1957,63,male,african,11,no,gauteng,house/flat,7,yes,yes,retired,,,,,,,,,,,,,,,,4.0,,2.0,,yes,pension,,,employment,government grants,,from employment,from other,,,yes,yes,no,yes,over 4 hours more,4.0,yes,yes,yes,no,no,no,no
301079,1970,50,female,african,6,,gauteng,house/flat,14,yes,yes,no,,,,,no,no,,,,,,,,,,2.0,,0.0,,no,,,,government grants,,,no income decrease,,,1420.0,no,no,no,yes,3-4 hours,4.0,yes,yes,no,yes,no,no,no
301081,9999,,female,african,0,,gauteng,house/flat,1,yes,yes,retired,,,,,,,,,,,,,,,,0.0,,1.0,,no,,,,government grants,,,no income decrease,,,1800.0,no,no,no,no,,0.0,no school books,,,,no,no,no
301082,1989,31,male,african,10,no,gauteng,informal,3,yes,yes,yes,6.0,10.0,8000,,no,no,,,,,,,,no,1-6 months ago,0.0,,0.0,,no,,,,employment,,,no income decrease,,,0.0,yes,no,no,,,,,,,,no,no,no
301086,1972,48,female,african,12,yes,natal,house/flat,4,yes,yes,yes,3.0,8.0,4600,,no,,self-employed,,,,,,,,,2.0,,,,no,,,,government grants,,,from government grants,,,,yes,no,no,yes,over 4 hours more,2.0,yes,yes,yes,yes,no,yes,no
301088,1978,42,male,african,10,yes,eastern cape,traditional,13,no,yes,no,,,,,no,no,,,,,,,,no,6-12 months ago,3.0,,2.0,,no,,,,government grants,,,no income decrease,,,,no,no,no,yes,3-4 hours,7.0,yes,no,no,no,no,no,no
301090,1964,56,female,african,10,no,gauteng,informal,4,yes,yes,no,,,,0,no,,,unemployed,,,,,,,,1.0,,1.0,,no,,,,government grants,,,no income decrease,,,,no,no,no,no,,0.0,no,no,no,no,no,no,no
301092,1981,39,female,african,12,yes,eastern cape,traditional,14,yes,yes,no,,,,,no,no,,,,,,,,no,6-12 months ago,3.0,,2.0,,no,,,,employment,government grants,,no income decrease,,,6000.0,no,no,no,yes,over 4 hours more,9.0,yes,no,yes,yes,no,no,no
301104,1966,54,female,coloured,11,no,gauteng,informal,6,no,yes,no,,,,,no,no,,,,,,,,yes,>1 year ago,2.0,,0.0,,no,,,,government grants,friends/family,,no income,,,900.0,no,yes,no,yes,1-2 hours,2.0,yes,yes,no,yes,no,yes,no
301105,1968,52,female,coloured,12,no,gauteng,house/flat,4,yes,yes,yes,5.0,8.0,25000,,yes,,regular job,technicians & assoc prof,5.0,9.0,25000.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,49000.0,no,no,no,no,,1.0,yes,yes,no,,no,no,no
301113,1992,28,female,african,12,yes,gauteng,house/flat,8,yes,yes,no,,,,,no,no,,,,,,,,yes,>1 year ago,4.0,,0.0,,no,,,,employment,government grants,,from employment,,,10000.0,yes,yes,yes,yes,over 4 hours more,3.0,yes,yes,no,yes,no,no,yes
301147,1976,44,male,coloured,12,no,gauteng,house/flat,5,yes,yes,no,2.0,2.0,,"<R3,000",no,no,,,,,,,,yes,1-6 months ago,0.0,,0.0,,no,,,,no income,,,no income,,,0.0,yes,no,no,yes,1-2 hours,3.0,no,no,no,no,no,no,no
301150,1969,51,female,coloured,7,,gauteng,house/flat,6,yes,yes,retired,,,,,,,,,,,,,,,,2.0,,0.0,,no,,,,government grants,,,from government grants,,,5000.0,yes,yes,no,yes,over 4 hours more,2.0,yes,yes,no,no,no,no,no
301177,1981,39,female,african,12,yes,gauteng,house/flat,7,yes,yes,no,,,,,no,no,,,,,,,,yes,>1 year ago,2.0,,2.0,,yes,child support,,,employment,government grants,,no income decrease,,,,no,yes,yes,yes,over 4 hours more,3.0,yes,yes,yes,yes,no,no,no
301178,1980,40,female,african,11,no,gauteng,informal,4,yes,yes,yes,4.0,6.0,3500,,yes,,regular job,technicians & assoc prof,4.0,6.0,3500.0,,no,,,1.0,,0.0,,no,,,,employment,government grants,,no income decrease,,,,no,no,no,yes,over 4 hours more,1.0,yes,no,yes,yes,no,no,no
301181,9999,,male,african,12,yes,free state,traditional,4,yes,yes,yes,5.0,7.0,7000,,yes,,regular job,professionals,,,7000.0,,no,,,0.0,,0.0,,no,,,,employment,,,no income decrease,,,7000.0,no,no,no,,,,,,,,no,no,no
301183,1966,54,female,african,12,no,gauteng,house/flat,4,yes,yes,yes,5.0,8.0,4500,,no,yes,regular job,elementary occup,0.0,0.0,0.0,,no,,,0.0,,1.0,,no,,,,employment,government grants,,no income decrease,,,,no,no,no,,,,,,,,no,no,no
301191,1988,32,male,african,11,no,gauteng,house/flat,7,yes,yes,no,,,,,no,yes,self-employed,,,,,,,,,2.0,,0.0,,no,,,,own business,,,no income decrease,,,,yes,yes,yes,yes,over 4 hours more,2.0,no,yes,no,no,yes,no,no
301193,1970,50,female,african,11,no,gauteng,house/flat,6,yes,yes,no,7.0,6.0,2500,,no,no,,,,,,,,yes,>1 year ago,0.0,,0.0,,no,,,,own business,,,from own business,,,800.0,yes,no,no,no,,0.0,no,no,no,no,no,no,yes
